position,entry_time,exit_time,duration,color
"(1110, 470)",1718177018.71,1718177359.48,340.77,Blue
"(922, 170)",1718177018.71,1718177360.32,341.6,Red
"(1040, 165)",1718177356.27,1718177360.58,4.31,White
"(831, 388)",1718177340.13,1718177360.84,20.71,Blue
"(1016, 486)",1718177018.71,1718177362.4,343.68,Red
"(1107, 150)",1718177360.32,1718177362.91,2.6,Red
"(460, 399)",1718177362.4,1718177364.73,2.33,Red
"(487, 414)",1718177361.37,1718177364.73,3.36,White
"(831, 449)",1718177018.71,1718177364.99,346.28,Black
"(833, 620)",1718177018.71,1718177364.99,346.28,Blue
"(739, 341)",1718177361.1,1718177364.99,3.89,Red
"(1040, 165)",1718177362.65,1718177365.77,3.12,White
"(950, 111)",1718177358.91,1718177366.35,7.44,Red
"(1107, 150)",1718177363.16,1718177366.61,3.45,Red
"(580, 296)",1718177364.73,1718177367.64,2.91,Red
"(674, 264)",1718177358.1,1718177368.43,10.32,White
"(487, 414)",1718177364.99,1718177368.43,3.43,Red
"(858, 449)",1718177364.47,1718177369.21,4.75,Red
"(1041, 318)",1718177018.71,1718177369.73,351.02,Red
"(580, 296)",1718177367.9,1718177370.52,2.63,Red
"(1108, 210)",1718177317.08,1718177371.05,53.97,Red
"(1014, 317)",1718177368.95,1718177372.09,3.15,Green
"(1040, 165)",1718177370.26,1718177372.9,2.63,White
"(949, 186)",1718177320.5,1718177372.9,52.39,Red
"(1107, 150)",1718177370.79,1718177373.18,2.39,Red
"(674, 264)",1718177369.48,1718177373.18,3.7,White
"(738, 112)",1718177018.6,1718177373.47,354.86,Gray
"(673, 172)",1718177018.71,1718177373.74,355.03,White
"(831, 388)",1718177361.1,1718177374.88,13.77,Black
"(647, 341)",1718177354.44,1718177374.88,20.44,Black
"(921, 140)",1718177353.91,1718177375.9,21.99,Red
"(580, 296)",1718177373.18,1718177376.46,3.28,Red
"(294, 433)",1718177364.73,1718177376.46,11.73,Gray
"(1107, 150)",1718177374.88,1718177376.98,2.11,Red
"(739, 341)",1718177365.52,1718177378.1,12.58,Red
"(1040, 165)",1718177373.47,1718177378.61,5.14,White
"(765, 249)",1718177018.71,1718177379.14,360.42,Red
"(581, 342)",1718177360.32,1718177379.14,18.82,Red
"(949, 186)",1718177373.47,1718177379.4,5.93,Red
"(674, 264)",1718177373.47,1718177379.66,6.19,Black
"(766, 465)",1718177377.24,1718177380.19,2.94,Red
"(766, 526)",1718177370.26,1718177380.47,10.2,Red
"(675, 542)",1718177018.71,1718177380.47,361.75,Red
"(921, 140)",1718177376.46,1718177380.73,4.27,Red
"(487, 414)",1718177368.69,1718177380.99,12.3,Red
"(1107, 150)",1718177377.24,1718177381.25,4.01,Red
"(294, 433)",1718177379.14,1718177381.25,2.12,Gray
"(1014, 256)",1718177379.4,1718177381.52,2.12,Violet
"(950, 111)",1718177370.52,1718177381.78,11.25,Red
"(831, 388)",1718177377.57,1718177381.78,4.21,Black
"(739, 450)",1718177018.71,1718177382.57,363.85,Blue
"(766, 435)",1718177051.63,1718177383.09,331.46,White
"(580, 296)",1718177379.66,1718177383.09,3.43,Red
"(100, 513)",1718177346.8,1718177383.88,37.08,Black
"(1040, 165)",1718177379.14,1718177384.15,5.01,White
"(739, 341)",1718177381.52,1718177384.41,2.89,Red
"(266, 586)",1718177319.21,1718177385.94,66.73,Blue
"(1108, 210)",1718177372.09,1718177386.2,14.11,Red
"(831, 388)",1718177384.15,1718177386.2,2.05,Black
"(766, 465)",1718177382.04,1718177386.2,4.16,Red
"(949, 215)",1718177384.41,1718177386.74,2.33,Red
"(922, 215)",1718177327.86,1718177387.02,59.16,Red
"(581, 342)",1718177381.78,1718177387.02,5.24,Red
"(460, 399)",1718177384.93,1718177387.02,2.09,Red
"(294, 433)",1718177381.52,1718177387.02,5.5,Blue
"(386, 510)",1718177018.6,1718177387.81,369.21,Red
"(923, 430)",1718177316.82,1718177388.32,71.5,Gray
"(485, 445)",1718177303.36,1718177388.32,84.96,Red
"(831, 388)",1718177386.74,1718177388.94,2.21,Black
"(765, 112)",1718177379.93,1718177388.94,9.02,Green
"(766, 465)",1718177387.02,1718177389.48,2.46,Red
"(1107, 150)",1718177383.88,1718177390.76,6.88,Red
"(949, 186)",1718177381.78,1718177390.76,8.99,Red
"(487, 414)",1718177389.99,1718177392.11,2.13,White
"(458, 477)",1718177317.08,1718177393.94,76.85,White
"(384, 586)",1718177391.59,1718177394.2,2.61,White
"(765, 112)",1718177391.3,1718177394.73,3.43,Green
"(100, 513)",1718177392.89,1718177395.25,2.36,Blue
"(765, 249)",1718177387.28,1718177396.09,8.8,Red
"(295, 478)",1718177246.65,1718177396.61,149.96,Blue
"(460, 399)",1718177389.99,1718177396.88,6.9,Red
"(1040, 165)",1718177394.2,1718177399.18,4.98,White
"(1107, 150)",1718177393.41,1718177399.18,5.77,Red
"(921, 125)",1718177018.71,1718177400.77,382.06,Red
"(923, 430)",1718177389.99,1718177400.77,10.79,Gray
"(765, 112)",1718177395.25,1718177400.77,5.52,Green
"(386, 510)",1718177389.74,1718177400.77,11.03,Red
"(267, 434)",1718177157.68,1718177400.77,243.09,Gray
"(738, 157)",1718177315.71,1718177401.05,85.34,Blue
"(738, 187)",1718177388.94,1718177401.05,12.11,Red
"(581, 342)",1718177391.03,1718177401.05,10.02,Red
"(581, 499)",1718177389.48,1718177401.05,11.57,Blue
"(294, 433)",1718177389.99,1718177401.05,11.06,Gray
"(1042, 423)",1718177018.93,1718177401.31,382.38,Green
"(1108, 210)",1718177398.14,1718177401.31,3.17,Red
"(948, 141)",1718177315.18,1718177401.31,86.14,Red
"(738, 249)",1718177018.93,1718177401.31,382.38,Red
"(739, 341)",1718177388.32,1718177401.31,12.99,Red
"(766, 295)",1718177209.35,1718177401.31,191.97,Blue
"(674, 233)",1718177330.72,1718177401.31,70.59,Black
"(647, 341)",1718177391.85,1718177401.31,9.46,Blue
"(486, 477)",1718177018.6,1718177401.31,382.71,White
"(95, 623)",1718177239.88,1718177401.31,161.43,Green
"(1012, 195)",1718177328.12,1718177401.56,73.45,Black
"(1107, 117)",1718177058.71,1718177401.56,342.85,Gray
"(923, 323)",1718177248.26,1718177401.56,153.3,Red
"(765, 204)",1718177318.67,1718177401.56,82.89,Red
"(487, 353)",1718177399.18,1718177401.56,2.38,Blue
"(294, 586)",1718177294.84,1718177401.56,106.73,Blue
"(266, 586)",1718177391.59,1718177401.56,9.98,Blue
"(921, 140)",1718177380.99,1718177401.83,20.84,Green
"(922, 215)",1718177387.28,1718177401.83,14.54,White
"(950, 111)",1718177382.83,1718177401.83,19.0,Red
"(858, 434)",1718177018.71,1718177401.83,383.11,Red
"(859, 480)",1718177270.24,1718177401.83,131.58,Red
"(739, 310)",1718177146.77,1718177401.83,255.06,Red
"(739, 466)",1718177018.6,1718177401.83,383.22,Blue
"(580, 281)",1718177349.45,1718177401.83,52.38,Red
"(582, 389)",1718177326.27,1718177401.83,75.56,Red
"(459, 384)",1718177287.58,1718177401.83,114.24,Blue
"(458, 462)",1718177018.71,1718177401.83,383.11,Blue
"(459, 493)",1718177318.94,1718177401.83,82.88,Blue
"(1041, 271)",1718177314.91,1718177402.12,87.21,Green
"(924, 509)",1718177314.3,1718177402.12,87.82,Gray
"(949, 307)",1718177331.83,1718177402.12,70.29,Red
"(830, 295)",1718177327.86,1718177402.12,74.26,Blue
"(831, 310)",1718177273.48,1718177402.12,128.64,Red
"(857, 279)",1718177063.16,1718177402.12,338.96,Red
"(859, 356)",1718177019.18,1718177402.12,382.94,Red
"(738, 234)",1718177018.93,1718177402.12,383.19,Red
"(766, 526)",1718177380.99,1718177402.12,21.13,Red
"(457, 554)",1718177243.67,1718177402.12,158.45,Black
"(384, 621)",1718177018.6,1718177402.12,383.52,Black
"(199, 616)",1718177018.6,1718177402.12,383.52,Red
"(1110, 438)",1718177018.93,1718177402.35,383.42,Blue
"(922, 96)",1718177019.18,1718177402.35,383.17,Blue
"(829, 143)",1718177315.18,1718177402.35,87.18,Blue
"(738, 127)",1718177018.71,1718177402.35,383.64,Green
"(766, 435)",1718177383.62,1718177402.35,18.73,Red
"(646, 233)",1718177018.93,1718177402.35,383.42,Red
"(647, 371)",1718177018.71,1718177402.35,383.64,Blue
"(554, 312)",1718177018.71,1718177402.35,383.64,Blue
"(552, 343)",1718177018.93,1718177402.35,383.42,Gray
"(459, 368)",1718177018.71,1718177402.35,383.64,Red
"(485, 445)",1718177388.94,1718177402.35,13.41,Blue
"(295, 462)",1718177244.99,1718177402.35,157.36,Green
"(171, 538)",1718177300.47,1718177402.35,101.89,Black
"(1015, 395)",1718177018.71,1718177402.58,383.86,Blue
"(1110, 486)",1718177018.71,1718177402.58,383.86,Blue
"(922, 230)",1718177018.71,1718177402.58,383.86,Green
"(831, 481)",1718177018.71,1718177402.58,383.86,Blue
"(738, 142)",1718177018.93,1718177402.58,383.64,Green
"(738, 218)",1718177018.93,1718177402.58,383.64,Red
"(766, 588)",1718177018.93,1718177402.58,383.64,Red
"(647, 387)",1718177018.93,1718177402.58,383.64,Blue
"(646, 419)",1718177128.39,1718177402.58,274.19,Blue
"(553, 266)",1718177099.07,1718177402.58,303.51,Blue
"(555, 297)",1718177241.79,1718177402.58,160.79,Red
"(294, 524)",1718177298.85,1718177402.58,103.72,Blue
"(200, 522)",1718177238.53,1718177402.58,164.05,Red
"(1039, 210)",1718177018.71,1718177402.79,384.08,Red
"(1046, 547)",1718177018.71,1718177402.79,384.08,Blue
"(1108, 271)",1718177313.78,1718177402.79,89.01,Red
"(1109, 316)",1718177018.71,1718177402.79,384.08,Red
"(1110, 347)",1718177018.71,1718177402.79,384.08,Blue
"(1110, 516)",1718177018.71,1718177402.79,384.08,Red
"(922, 200)",1718177261.66,1718177402.79,141.13,Red
"(948, 126)",1718177207.41,1718177402.79,195.38,Green
"(949, 171)",1718177018.93,1718177402.79,383.86,Red
"(951, 540)",1718177018.71,1718177402.79,384.08,Blue
"(830, 173)",1718177018.71,1718177402.79,384.08,Red
"(830, 203)",1718177018.93,1718177402.79,383.86,Red
"(830, 279)",1718177018.93,1718177402.79,383.86,Red
"(831, 356)",1718177018.71,1718177402.79,384.08,Red
"(831, 403)",1718177018.93,1718177402.79,383.86,Blue
"(831, 433)",1718177018.71,1718177402.79,384.08,Red
"(831, 465)",1718177018.71,1718177402.79,384.08,Blue
"(832, 527)",1718177018.93,1718177402.79,383.86,Blue
"(857, 128)",1718177236.06,1718177402.79,166.73,Red
"(739, 326)",1718177018.71,1718177402.79,384.08,Blue
"(766, 311)",1718177241.51,1718177402.79,161.28,Blue
"(766, 356)",1718177018.71,1718177402.79,384.08,Red
"(765, 512)",1718177018.71,1718177402.79,384.08,Red
"(673, 148)",1718177018.93,1718177402.79,383.86,Unknown
"(645, 172)",1718177018.93,1718177402.79,383.86,Gray
"(674, 325)",1718177018.71,1718177402.79,384.08,Red
"(646, 496)",1718177243.94,1718177402.79,158.85,Blue
"(581, 242)",1718177018.93,1718177402.79,383.86,Blue
"(580, 296)",1718177383.88,1718177402.79,18.91,Green
"(551, 436)",1718177018.6,1718177402.79,384.19,Red
"(458, 524)",1718177018.71,1718177402.79,384.08,Red
"(457, 539)",1718177018.71,1718177402.79,384.08,Red
"(487, 398)",1718177271.37,1718177402.79,131.42,Red
"(294, 539)",1718177018.93,1718177402.79,383.86,Blue
"(387, 459)",1718177095.55,1718177402.79,307.24,Blue
"(388, 446)",1718177018.71,1718177402.79,384.08,Red
"(171, 506)",1718177115.89,1718177402.79,286.9,Red
"(100, 489)",1718177018.6,1718177402.79,384.19,Blue
"(1013, 164)",1718177114.02,1718177403.01,288.98,Blue
"(1014, 240)",1718177157.15,1718177403.01,245.86,Blue
"(1016, 363)",1718177018.71,1718177403.01,384.29,Red
"(1015, 455)",1718177018.71,1718177403.01,384.29,Red
"(1018, 578)",1718177018.71,1718177403.01,384.29,Blue
"(1042, 333)",1718177018.71,1718177403.01,384.29,Red
"(922, 111)",1718177018.71,1718177403.01,384.29,Blue
"(922, 185)",1718177018.71,1718177403.01,384.29,Red
"(923, 277)",1718177018.71,1718177403.01,384.29,Blue
"(924, 493)",1718177018.71,1718177403.01,384.29,Blue
"(950, 200)",1718177018.71,1718177403.01,384.29,Green
"(950, 338)",1718177259.53,1718177403.01,143.48,Green
"(950, 384)",1718177018.93,1718177403.01,384.08,Green
"(952, 555)",1718177018.71,1718177403.01,384.29,Green
"(830, 158)",1718177018.71,1718177403.01,384.29,Green
"(830, 188)",1718177018.71,1718177403.01,384.29,Green
"(831, 418)",1718177018.93,1718177403.01,384.08,Blue
"(857, 159)",1718177164.82,1718177403.01,238.19,Red
"(859, 542)",1718177332.58,1718177403.01,70.43,Green
"(739, 387)",1718177018.71,1718177403.01,384.29,Red
"(739, 418)",1718177018.6,1718177403.01,384.4,Red
"(766, 127)",1718177018.71,1718177403.01,384.29,Green
"(767, 387)",1718177279.04,1718177403.01,123.97,Blue
"(766, 573)",1718177018.71,1718177403.01,384.29,Blue
"(674, 248)",1718177018.71,1718177403.01,384.29,Green
"(674, 295)",1718177018.71,1718177403.01,384.29,Blue
"(674, 310)",1718177299.66,1718177403.01,103.34,Blue
"(675, 371)",1718177018.93,1718177403.01,384.08,Blue
"(675, 402)",1718177018.71,1718177403.01,384.29,Blue
"(646, 203)",1718177018.71,1718177403.01,384.29,Blue
"(646, 279)",1718177018.71,1718177403.01,384.29,Blue
"(646, 325)",1718177018.93,1718177403.01,384.08,Red
"(647, 403)",1718177018.71,1718177403.01,384.29,Blue
"(580, 266)",1718177018.71,1718177403.01,384.29,Blue
"(580, 592)",1718177018.6,1718177403.01,384.4,Blue
"(579, 624)",1718177018.71,1718177403.01,384.29,Blue
"(554, 282)",1718177018.71,1718177403.01,384.29,Blue
"(551, 359)",1718177018.71,1718177403.01,384.29,Blue
"(550, 375)",1718177018.93,1718177403.01,384.08,Blue
"(550, 390)",1718177018.93,1718177403.01,384.08,Red
"(550, 406)",1718177018.93,1718177403.01,384.08,Violet
"(460, 429)",1718177353.4,1718177403.01,49.61,Red
"(486, 493)",1718177018.71,1718177403.01,384.29,Blue
"(485, 524)",1718177018.71,1718177403.01,384.29,Blue
"(486, 570)",1718177018.6,1718177403.01,384.4,Blue
"(295, 493)",1718177018.6,1718177403.01,384.4,Blue
"(384, 608)",1718177018.71,1718177403.01,384.29,Blue
"(385, 598)",1718177019.18,1718177403.01,383.83,Red
"(387, 535)",1718177018.93,1718177403.01,384.08,Red
"(387, 434)",1718177018.71,1718177403.01,384.29,Blue
"(266, 461)",1718177139.96,1718177403.01,263.05,Black
"(266, 477)",1718177018.71,1718177403.01,384.29,Blue
"(266, 509)",1718177193.2,1718177403.01,209.8,Blue
"(198, 460)",1718177018.71,1718177403.01,384.29,Blue
"(198, 570)",1718177018.6,1718177403.01,384.4,Blue
"(171, 475)",1718177018.93,1718177403.01,384.08,Blue
"(171, 522)",1718177069.32,1718177403.01,333.69,Blue
"(358, 433)",1718177018.71,1718177403.01,384.29,Red
"(358, 621)",1718177018.71,1718177403.01,384.29,Red
"(1012, 179)",1718177018.71,1718177403.19,384.48,Blue
"(1013, 225)",1718177018.71,1718177403.19,384.48,Blue
"(1015, 348)",1718177018.71,1718177403.19,384.48,Blue
"(1015, 379)",1718177018.6,1718177403.19,384.59,Gray
"(1015, 409)",1718177018.71,1718177403.19,384.48,Violet
"(1015, 440)",1718177018.71,1718177403.19,384.48,Blue
"(1015, 471)",1718177018.71,1718177403.19,384.48,Blue
"(1040, 180)",1718177018.71,1718177403.19,384.48,Green
"(1108, 240)",1718177018.71,1718177403.19,384.48,Red
"(1108, 301)",1718177086.34,1718177403.19,316.85,Red
"(1110, 377)",1718177018.71,1718177403.19,384.48,Green
"(1110, 407)",1718177157.68,1718177403.19,245.51,Blue
"(1110, 501)",1718177018.71,1718177403.19,384.48,Blue
"(1112, 577)",1718177018.93,1718177403.19,384.26,Blue
"(923, 308)",1718177018.71,1718177403.19,384.48,Blue
"(923, 338)",1718177019.18,1718177403.19,384.01,Green
"(923, 384)",1718177018.71,1718177403.19,384.48,Green
"(923, 414)",1718177018.71,1718177403.19,384.48,Green
"(924, 540)",1718177018.71,1718177403.19,384.48,Green
"(924, 555)",1718177018.71,1718177403.19,384.48,Red
"(949, 96)",1718177018.71,1718177403.19,384.48,Blue
"(949, 246)",1718177018.6,1718177403.19,384.59,Red
"(951, 429)",1718177018.71,1718177403.19,384.48,Blue
"(951, 570)",1718177018.93,1718177403.19,384.26,Green
"(829, 113)",1718177018.71,1718177403.19,384.48,Blue
"(830, 219)",1718177041.83,1718177403.19,361.36,Blue
"(830, 234)",1718177108.28,1718177403.19,294.91,Blue
"(830, 264)",1718177018.71,1718177403.19,384.48,Blue
"(831, 325)",1718177018.71,1718177403.19,384.48,Green
"(832, 542)",1718177294.57,1718177403.19,108.62,Green
"(856, 113)",1718177018.71,1718177403.19,384.48,Red
"(858, 264)",1718177018.71,1718177403.19,384.48,Green
"(858, 295)",1718177018.93,1718177403.19,384.26,Blue
"(858, 311)",1718177344.42,1718177403.19,58.77,Blue
"(858, 372)",1718177018.71,1718177403.19,384.48,Blue
"(859, 419)",1718177168.32,1718177403.19,234.87,Red
"(860, 588)",1718177379.4,1718177403.19,23.79,Blue
"(738, 172)",1718177018.71,1718177403.19,384.48,Green
"(738, 203)",1718177018.71,1718177403.19,384.48,Blue
"(738, 264)",1718177018.71,1718177403.19,384.48,Green
"(738, 279)",1718177018.71,1718177403.19,384.48,Red
"(739, 372)",1718177018.71,1718177403.19,384.48,Blue
"(739, 403)",1718177018.71,1718177403.19,384.48,Blue
"(739, 434)",1718177018.6,1718177403.19,384.59,Gray
"(739, 481)",1718177085.23,1718177403.19,317.96,Green
"(766, 158)",1718177018.71,1718177403.19,384.48,Blue
"(765, 172)",1718177018.6,1718177403.19,384.59,Red
"(765, 188)",1718177018.71,1718177403.19,384.48,Unknown
"(766, 326)",1718177018.71,1718177403.19,384.48,Green
"(766, 341)",1718177018.71,1718177403.19,384.48,Blue
"(767, 371)",1718177018.71,1718177403.19,384.48,Green
"(767, 403)",1718177018.71,1718177403.19,384.48,Blue
"(766, 419)",1718177018.6,1718177403.19,384.59,Blue
"(673, 187)",1718177247.47,1718177403.19,155.72,Green
"(673, 202)",1718177018.71,1718177403.19,384.48,Blue
"(674, 217)",1718177018.71,1718177403.19,384.48,Red
"(675, 418)",1718177018.71,1718177403.19,384.48,Blue
"(676, 433)",1718177018.71,1718177403.19,384.48,Red
"(675, 464)",1718177018.71,1718177403.19,384.48,Green
"(645, 187)",1718177018.71,1718177403.19,384.48,Green
"(646, 218)",1718177018.71,1718177403.19,384.48,Green
"(646, 264)",1718177018.71,1718177403.19,384.48,Green
"(646, 294)",1718177018.71,1718177403.19,384.48,Green
"(646, 310)",1718177018.71,1718177403.19,384.48,Unknown
"(647, 356)",1718177018.71,1718177403.19,384.48,Green
"(580, 406)",1718177018.6,1718177403.19,384.59,Blue
"(581, 421)",1718177018.71,1718177403.19,384.48,Red
"(581, 437)",1718177018.6,1718177403.19,384.59,Blue
"(581, 453)",1718177018.6,1718177403.19,384.59,Blue
"(581, 483)",1718177018.6,1718177403.19,384.59,Green
"(553, 327)",1718177018.71,1718177403.19,384.48,Blue
"(551, 421)",1718177018.71,1718177403.19,384.48,Green
"(457, 446)",1718177018.71,1718177403.19,384.48,Unknown
"(458, 509)",1718177018.71,1718177403.19,384.48,Blue
"(457, 585)",1718177018.71,1718177403.19,384.48,Blue
"(487, 383)",1718177151.17,1718177403.19,252.02,Blue
"(486, 508)",1718177018.6,1718177403.19,384.59,Green
"(486, 554)",1718177019.18,1718177403.19,384.01,Blue
"(485, 601)",1718177018.6,1718177403.19,384.59,Red
"(485, 617)",1718177018.71,1718177403.19,384.48,Blue
"(295, 617)",1718177018.71,1718177403.19,384.48,Blue
"(386, 561)",1718177018.71,1718177403.19,384.48,Blue
"(386, 523)",1718177018.71,1718177403.19,384.48,Green
"(386, 422)",1718177018.6,1718177403.19,384.59,Green
"(266, 493)",1718177240.69,1718177403.19,162.51,Black
"(266, 541)",1718177018.71,1718177403.19,384.48,Blue
"(266, 601)",1718177018.71,1718177403.19,384.48,Green
"(266, 617)",1718177018.71,1718177403.19,384.48,Blue
"(199, 475)",1718177018.71,1718177403.19,384.48,Green
"(100, 545)",1718177018.6,1718177403.19,384.59,Blue
"(99, 576)",1718177018.6,1718177403.19,384.59,Blue
"(358, 396)",1718177203.92,1718177403.19,199.27,Blue
"(359, 422)",1718177018.6,1718177403.19,384.59,Red
"(359, 534)",1718177018.71,1718177403.19,384.48,Blue
"(360, 547)",1718177018.71,1718177403.19,384.48,Red
"(358, 572)",1718177018.71,1718177403.19,384.48,Black
"(359, 585)",1718177018.71,1718177403.19,384.48,Red
"(1012, 210)",1718177287.32,1718177403.34,116.02,Blue
"(1014, 286)",1718177018.71,1718177403.34,384.63,Green
"(1040, 195)",1718177018.71,1718177403.34,384.63,Green
"(1040, 225)",1718177252.21,1718177403.34,151.14,Green
"(1041, 240)",1718177018.93,1718177403.34,384.41,Red
"(1042, 362)",1718177018.6,1718177403.34,384.74,Blue
"(1042, 408)",1718177018.71,1718177403.34,384.63,Blue
"(1045, 563)",1718177018.71,1718177403.34,384.63,Blue
"(1107, 165)",1718177018.6,1718177403.34,384.74,Blue
"(1107, 225)",1718177018.71,1718177403.34,384.63,Violet
"(1108, 256)",1718177018.71,1718177403.34,384.63,Violet
"(1108, 287)",1718177018.71,1718177403.34,384.63,Blue
"(1110, 454)",1718177018.71,1718177403.34,384.63,Blue
"(922, 155)",1718177018.71,1718177403.34,384.63,Blue
"(922, 170)",1718177368.95,1718177403.34,34.4,Blue
"(923, 262)",1718177018.71,1718177403.34,384.63,Blue
"(923, 292)",1718177102.32,1718177403.34,301.02,Blue
"(924, 477)",1718177018.71,1718177403.34,384.63,Blue
"(948, 156)",1718177018.71,1718177403.34,384.63,Green
"(950, 262)",1718177306.02,1718177403.34,97.33,Violet
"(950, 292)",1718177082.71,1718177403.34,320.63,Blue
"(951, 399)",1718177018.71,1718177403.34,384.63,Green
"(951, 445)",1718177018.71,1718177403.34,384.63,Blue
"(952, 461)",1718177018.71,1718177403.34,384.63,Blue
"(953, 617)",1718177018.71,1718177403.34,384.63,Blue
"(831, 341)",1718177018.71,1718177403.34,384.63,Blue
"(831, 372)",1718177018.6,1718177403.34,384.74,Blue
"(832, 573)",1718177018.71,1718177403.34,384.63,Blue
"(857, 143)",1718177018.71,1718177403.34,384.63,Green
"(857, 204)",1718177269.71,1718177403.34,133.63,Red
"(858, 234)",1718177018.71,1718177403.34,384.63,Blue
"(859, 341)",1718177018.71,1718177403.34,384.63,Blue
"(858, 404)",1718177018.6,1718177403.34,384.74,Blue
"(859, 465)",1718177018.6,1718177403.34,384.74,Blue
"(738, 295)",1718177018.71,1718177403.34,384.63,Blue
"(739, 511)",1718177018.6,1718177403.34,384.74,Green
"(739, 588)",1718177367.39,1718177403.34,35.95,Blue
"(765, 143)",1718177325.2,1718177403.34,78.15,Blue
"(765, 219)",1718177018.71,1718177403.34,384.63,Green
"(766, 279)",1718177018.6,1718177403.34,384.74,Green
"(765, 496)",1718177018.71,1718177403.34,384.63,Red
"(767, 542)",1718177018.71,1718177403.34,384.63,Blue
"(675, 340)",1718177018.71,1718177403.34,384.63,Green
"(675, 355)",1718177018.71,1718177403.34,384.63,Red
"(675, 386)",1718177018.71,1718177403.34,384.63,Green
"(674, 527)",1718177032.82,1718177403.34,370.52,Blue
"(673, 620)",1718177018.71,1718177403.34,384.63,Blue
"(645, 511)",1718177018.6,1718177403.34,384.74,Green
"(580, 311)",1718177018.71,1718177403.34,384.63,Blue
"(581, 327)",1718177018.71,1718177403.34,384.63,Blue
"(581, 358)",1718177018.71,1718177403.34,384.63,Blue
"(581, 374)",1718177018.6,1718177403.34,384.74,Blue
"(552, 451)",1718177018.71,1718177403.34,384.63,Green
"(553, 467)",1718177018.71,1718177403.34,384.63,Blue
"(553, 576)",1718177018.71,1718177403.34,384.63,Blue
"(459, 353)",1718177018.71,1718177403.34,384.63,Violet
"(458, 477)",1718177399.46,1718177403.34,3.89,Green
"(457, 570)",1718177018.6,1718177403.34,384.74,Blue
"(457, 601)",1718177328.9,1718177403.34,74.45,Blue
"(487, 367)",1718177195.08,1718177403.34,208.26,Blue
"(487, 429)",1718177018.71,1718177403.34,384.63,Green
"(485, 540)",1718177018.71,1718177403.34,384.63,Violet
"(486, 586)",1718177018.71,1718177403.34,384.63,Blue
"(294, 508)",1718177018.71,1718177403.34,384.63,Blue
"(294, 555)",1718177313.78,1718177403.34,89.57,Blue
"(294, 571)",1718177018.6,1718177403.34,384.74,Blue
"(387, 547)",1718177018.71,1718177403.34,384.63,Green
"(387, 473)",1718177018.93,1718177403.34,384.41,Red
"(386, 409)",1718177018.6,1718177403.34,384.74,Red
"(266, 525)",1718177018.6,1718177403.34,384.74,Blue
"(266, 556)",1718177018.71,1718177403.34,384.63,Blue
"(200, 507)",1718177018.6,1718177403.34,384.74,Blue
"(201, 538)",1718177018.6,1718177403.34,384.74,Blue
"(198, 585)",1718177018.6,1718177403.34,384.74,Blue
"(172, 616)",1718177018.6,1718177403.34,384.74,Blue
"(99, 560)",1718177096.37,1718177403.34,306.97,Black
"(98, 608)",1718177018.6,1718177403.34,384.74,Blue
"(357, 446)",1718177018.71,1718177403.34,384.63,Blue
"(359, 485)",1718177018.71,1718177403.34,384.63,Red
"(359, 497)",1718177018.71,1718177403.34,384.63,Blue
"(359, 521)",1718177018.71,1718177403.34,384.63,Red
"(360, 560)",1718177018.71,1718177403.34,384.63,Blue
"(1018, 609)",1718177018.6,1718177403.45,384.85,Green
"(1041, 287)",1718177018.6,1718177403.45,384.85,Blue
"(1041, 318)",1718177374.3,1718177403.45,29.15,Blue
"(1042, 378)",1718177018.6,1718177403.45,384.85,Blue
"(1046, 594)",1718177018.6,1718177403.45,384.85,Blue
"(1106, 135)",1718177018.6,1718177403.45,384.85,Blue
"(1108, 195)",1718177018.6,1718177403.45,384.85,Blue
"(923, 353)",1718177018.6,1718177403.45,384.85,Blue
"(950, 231)",1718177294.84,1718177403.45,108.61,Blue
"(951, 414)",1718177018.71,1718177403.45,384.74,Black
"(952, 477)",1718177018.71,1718177403.45,384.74,Blue
"(952, 585)",1718177018.6,1718177403.45,384.85,Green
"(953, 600)",1718177018.6,1718177403.45,384.85,Red
"(830, 128)",1718177018.71,1718177403.45,384.74,Blue
"(832, 496)",1718177018.6,1718177403.45,384.85,Green
"(858, 174)",1718177178.17,1718177403.45,225.29,Green
"(857, 189)",1718177018.6,1718177403.45,384.85,Red
"(858, 326)",1718177018.6,1718177403.45,384.85,Green
"(739, 527)",1718177018.6,1718177403.45,384.85,Blue
"(765, 235)",1718177018.71,1718177403.45,384.74,Blue
"(766, 481)",1718177124.03,1718177403.45,279.42,Blue
"(674, 280)",1718177018.6,1718177403.45,384.85,Blue
"(675, 480)",1718177038.76,1718177403.45,364.69,Blue
"(674, 572)",1718177018.6,1718177403.45,384.85,Blue
"(674, 604)",1718177018.6,1718177403.45,384.85,Blue
"(646, 480)",1718177018.71,1718177403.45,384.74,Blue
"(581, 530)",1718177018.71,1718177403.45,384.74,Violet
"(553, 498)",1718177018.6,1718177403.45,384.85,Green
"(553, 514)",1718177054.17,1718177403.45,349.28,Blue
"(460, 414)",1718177018.6,1718177403.45,384.85,Green
"(486, 461)",1718177018.6,1718177403.45,384.85,Blue
"(386, 395)",1718177018.6,1718177403.45,384.85,Blue
"(385, 572)",1718177093.35,1718177403.45,310.1,Green
"(387, 485)",1718177018.71,1718177403.45,384.74,Red
"(266, 571)",1718177073.2,1718177403.45,330.25,Blue
"(199, 491)",1718177018.71,1718177403.45,384.74,Black
